Open,High,Low,Close,Volume,Dividends,Stock Splits
51.5,51.75,51.25,51.5,831813,0.0,0.0
51.5,51.75,51.5,51.5,302300,0.0,0.0
51.5,51.75,51.5,51.75,99501,0.0,0.0
51.75,51.75,51.5,51.5,181011,0.0,0.0
51.5,51.75,51.5,51.75,83305,0.0,0.0
51.5,51.75,51.5,51.75,161701,0.0,0.0
51.75,51.75,51.5,51.75,166101,0.0,0.0
51.75,51.75,51.5,51.75,341254,0.0,0.0
51.75,51.75,51.5,51.75,231205,0.0,0.0
51.75,52.0,51.75,52.0,1116532,0.0,0.0
51.5,51.75,51.5,51.75,611314,0.0,0.0
51.75,52.0,51.5,51.75,664413,0.0,0.0
51.75,52.0,51.75,51.75,90131,0.0,0.0
51.75,51.75,51.5,51.5,232866,0.0,0.0
51.75,51.75,51.5,51.5,8742,0.0,0.0
51.5,51.75,51.5,51.5,41314,0.0,0.0
51.5,51.75,51.5,51.5,349259,0.0,0.0
51.5,51.75,51.5,51.75,213502,0.0,0.0
51.5,51.75,51.5,51.5,32609,0.0,0.0
51.5,51.75,51.5,51.75,508602,0.0,0.0
51.75,51.75,51.75,51.75,353800,0.0,0.0
51.5,51.75,51.5,51.5,33601,0.0,0.0
51.5,51.75,51.5,51.75,67567,0.0,0.0
51.75,51.75,51.5,51.5,37603,0.0,0.0
51.5,51.75,51.5,51.5,344421,0.0,0.0
51.5,52.0,51.5,51.75,1108633,0.0,0.0
51.75,51.75,51.5,51.75,273725,0.0,0.0
51.75,51.75,51.75,51.75,119850,0.0,0.0
51.75,52.0,51.75,51.75,82125,0.0,0.0
51.75,51.75,51.5,51.75,248419,0.0,0.0
51.5,51.75,51.5,51.5,14819,0.0,0.0
51.5,51.75,51.5,51.75,592875,0.0,0.0
51.5,51.75,51.5,51.75,20410,0.0,0.0
51.5,51.75,51.5,51.5,46775,0.0,0.0
51.5,51.75,51.5,51.5,64615,0.0,0.0
51.5,51.75,51.5,51.5,36028,0.0,0.0
51.5,51.75,51.5,51.75,6790,0.0,0.0
51.5,52.0,51.5,51.75,1009001,0.0,0.0
51.75,51.75,51.5,51.5,191360,0.0,0.0
51.5,51.5,51.5,51.5,64400,0.0,0.0
51.75,51.75,51.5,51.5,560123,0.0,0.0
51.5,51.5,51.5,51.5,29500,0.0,0.0
51.5,51.5,51.5,51.5,28100,0.0,0.0
51.5,51.5,51.5,51.5,540606,0.0,0.0
51.5,51.5,51.5,51.5,162230,0.0,0.0
51.5,51.5,51.25,51.25,203702,0.0,0.0
51.25,51.5,51.25,51.25,769960,0.0,0.0
51.25,51.25,51.0,51.0,703516,0.0,0.0
51.0,51.25,50.75,51.25,312741,0.0,0.0
51.25,51.25,51.0,51.0,607488,0.0,0.0
51.0,51.25,51.0,51.0,43941,0.0,0.0
51.0,51.5,51.0,51.5,436527,0.0,0.0
51.5,51.75,51.5,51.75,225021,0.0,0.0
51.75,51.75,51.25,51.5,300704,0.0,0.0
51.5,51.75,51.5,51.5,129987,0.0,0.0
51.5,51.75,51.5,51.75,99703,0.0,0.0
51.5,51.75,51.25,51.5,741994,0.0,0.0
51.75,51.75,51.25,51.25,317903,0.0,0.0
51.5,51.75,51.5,51.5,386395,0.0,0.0
51.5,51.75,51.25,51.75,862906,0.0,0.0
51.75,51.75,51.5,51.75,41351,0.0,0.0
51.75,51.75,51.5,51.75,59100,0.0,0.0
51.75,51.75,51.5,51.5,126911,0.0,0.0
51.75,51.75,51.25,51.5,896887,0.0,0.0
51.75,51.75,51.5,51.75,79506,0.0,0.0
51.75,51.75,51.5,51.75,223801,0.0,0.0
51.75,51.75,51.5,51.5,588270,0.0,0.0
51.75,51.75,51.5,51.5,344418,0.0,0.0
51.5,51.5,51.25,51.5,769901,0.0,0.0
51.5,51.75,51.5,51.5,384344,0.0,0.0
51.5,51.5,51.25,51.25,40701,0.0,0.0
51.25,51.5,51.25,51.25,100900,0.0,0.0
51.25,51.5,51.25,51.5,105402,0.0,0.0
51.5,51.5,51.25,51.5,124800,0.0,0.0
51.5,51.5,51.25,51.5,227800,0.0,0.0
51.5,51.5,51.25,51.5,110607,0.0,0.0
51.5,51.75,51.25,51.75,476329,0.0,0.0
51.5,51.75,51.25,51.5,695000,0.0,0.0
51.5,51.75,51.5,51.75,226001,0.0,0.0
51.75,51.75,51.5,51.5,170410,0.0,0.0
