Open,High,Low,Close,Volume,Dividends,Stock Splits
99.0,99.0,98.75,99.0,236837,0.0,0.0
99.0,99.0,98.5,98.75,223122,0.0,0.0
98.75,99.0,98.5,99.0,28035,0.0,0.0
98.75,99.0,98.5,98.75,103745,0.0,0.0
99.0,99.0,98.75,98.75,73710,0.0,0.0
98.5,98.75,98.25,98.5,1097280,0.0,0.0
98.5,98.5,98.25,98.25,32495,0.0,0.0
98.25,98.5,98.25,98.25,11559,0.0,0.0
98.5,98.5,98.25,98.25,20717,0.0,0.0
98.25,98.75,98.25,98.5,301905,0.0,0.0
98.5,98.5,98.5,98.5,69318,0.0,0.0
98.5,98.75,98.5,98.5,5131,0.0,0.0
98.5,98.75,98.25,98.25,47168,0.0,0.0
98.25,98.5,98.25,98.5,30500,0.0,0.0
98.5,98.5,98.25,98.25,47037,0.0,0.0
98.5,98.75,98.5,98.5,79300,0.0,0.0
98.5,98.5,98.25,98.5,222588,0.0,0.0
98.5,98.75,98.5,98.5,154437,0.0,0.0
98.5,98.75,98.5,98.5,17602,0.0,0.0
98.5,98.75,98.25,98.75,43708,0.0,0.0
98.75,98.75,98.5,98.75,19121,0.0,0.0
98.75,98.75,98.5,98.75,40615,0.0,0.0
98.75,98.75,98.5,98.5,34442,0.0,0.0
98.75,98.75,98.25,98.5,124334,0.0,0.0
98.25,98.25,97.5,97.5,1004310,0.0,0.0
97.75,97.75,97.5,97.5,270475,0.0,0.0
97.5,97.75,97.25,97.25,287595,0.0,0.0
97.5,97.5,97.25,97.25,65973,0.0,0.0
97.25,97.5,97.25,97.5,294845,0.0,0.0
97.5,97.5,97.25,97.25,80278,0.0,0.0
97.5,97.5,97.25,97.5,225061,0.0,0.0
97.5,97.75,97.5,97.5,48748,0.0,0.0
97.5,97.75,97.5,97.5,46179,0.0,0.0
97.5,97.75,97.5,97.75,83062,0.0,0.0
97.75,97.75,97.5,97.5,48148,0.0,0.0
97.5,97.75,97.5,97.5,187617,0.0,0.0
97.5,97.75,97.5,97.75,77639,0.0,0.0
97.5,98.0,97.5,97.75,234503,0.0,0.0
97.75,97.75,97.5,97.5,17409,0.0,0.0
97.75,97.75,97.5,97.75,42524,0.0,0.0
97.5,97.75,97.5,97.5,49153,0.0,0.0
97.5,97.75,97.5,97.5,86789,0.0,0.0
97.5,98.0,97.5,97.5,370064,0.0,0.0
97.25,97.75,97.25,97.75,139761,0.0,0.0
97.5,97.75,97.5,97.75,14283,0.0,0.0
97.5,97.75,97.25,97.5,145474,0.0,0.0
97.5,97.5,97.25,97.25,27320,0.0,0.0
97.25,97.5,97.25,97.5,23805,0.0,0.0
97.5,97.5,97.25,97.25,25743,0.0,0.0
